id,date,year,month,provinsi,kabupaten,kode_kabupaten,kode_provinsi,jenis_bencana,meninggal,hilang,luka_sakit,mengungsi,rumah_rusak_berat,rumah_rusak_sedang,rumah_rusak_ringan,rumah_terendam
08f8b45b-b9a0-41ff-a490-359254ccd90d,2026-06-08,2026,6,Sulawesi Utara,Kepulauan Sangihe,71.03,71,Gempabumi,0,0,0,1575,54,21,8,0
29ea178a-15c0-4b0c-8fa5-a791e56c114a,2026-06-08,2026,6,Sulawesi Utara,Minahasa Utara,71.06,71,Gempabumi,0,0,0,0,0,0,0,0
29acb103-c5df-4c7a-9d5b-61f9ef2ecdae,2026-06-08,2026,6,Sulawesi Utara,Kota Manado,71.71,71,Gempabumi,0,0,0,0,0,0,0,0
c382fe6f-3a71-4189-aa6b-1fe6d363e158,2026-06-08,2026,6,Sulawesi Utara,Kepulauan Talaud,71.04,71,Gempabumi,0,0,0,60,0,0,12,0
5e717181-4fab-4121-a871-51d7f8b7058b,2026-04-08,2026,4,Nusa Tenggara Timur,Lembata,53.13,53,Gempabumi,0,0,0,151,6,0,29,0
c703ed08-9840-4770-bfcb-9cb10e14d4f9,2026-04-08,2026,4,Nusa Tenggara Timur,Flores Timur,53.06,53,Gempabumi,0,0,18,3434,3,45,608,0
28c01bde-34cb-4042-a7f4-e1222a7e8bd0,2026-04-02,2026,4,Maluku Utara,Halmahera Selatan,82.04,82,Gempabumi,0,0,0,4,0,2,1,0
14f3d56b-142b-4f1c-90f5-56f6a3812a6b,2026-04-02,2026,4,Sulawesi Utara,Minahasa,71.02,71,Gempabumi,0,0,3,1020,0,4,38,0
2caac34b-3c2c-4191-809f-1fe5feb0e1da,2026-04-02,2026,4,Maluku Utara,Halmahera Tengah,82.02,82,Gempabumi,0,0,0,40,2,5,1,0
deb5ba93-99b3-448e-83c2-7e99bb4b2c2a,2026-04-02,2026,4,Sulawesi Utara,Kota Manado,71.71,71,Gempabumi,1,0,1,0,0,0,0,0
257b8e18-a2bc-490d-8f24-157d4121de7d,2026-04-02,2026,4,Sulawesi Utara,Kota Bitung,71.72,71,Gempabumi,0,0,0,120,0,2,32,0
69f189e3-ae0c-4107-8ad6-17716cea4459,2026-04-02,2026,4,Sulawesi Utara,Kota Tomohon,71.73,71,Gempabumi,1,0,0,0,0,0,11,0
250d7788-ac4e-4b96-8ecb-db7af9cd32a9,2026-04-02,2026,4,Maluku Utara,Kota Ternate,82.71,82,Gempabumi,0,0,1,772,63,58,126,0
cf0fd4aa-fe8a-450b-bf8d-261461585b73,2026-04-02,2026,4,Maluku Utara,Halmahera Barat,82.01,82,Gempabumi,0,0,0,25,0,2,39,0
68500406-2ab0-4022-94ca-e18b9aa0e8b9,2026-04-02,2026,4,Sulawesi Utara,Minahasa Utara,71.06,71,Gempabumi,0,0,0,0,0,0,4,0
